Feature,Importance
Charges_To_Tenure_Ratio,0.14805806371119634
Revenue_Growth_Rate,0.10759376479846855
Is_Family,0.0724890060813091
Service_Density,0.07150933060675456
Is_Month_To_Month_Electronic,0.06249340103091746
Services_Per_Dollar,0.04982500314299613
Tenure Months_Log,0.03853822855546335
Price_Sensitivity,0.03834793342559751
Monthly Charges,0.03736238456477975
Monthly Charges_Log,0.035759344387514116
Security_Ratio,0.034425638279358114
Tenure_Years,0.03356886701664335
Tenure Months,0.03230800736761852
Avg_Monthly_Revenue,0.03169045917192579
Security_Services,0.023844575614186212
Total Charges,0.02170925242638128
Total Charges_Log,0.02140696919024986
Distance_From_Center,0.02120417676130732
Longitude,0.020402006004348255
Latitude,0.019870075563358004
